competition,year,topic,name,pages,size,converted,path,sha256
MathorCup,2018,综合,D6086.pdf,29,925112,False,6-1优秀论文库/MathorCup/2018/综合/D6086.pdf,948dbbd58c6b96b971b86849029ab56ccde5b72e58872150e303244114e41da7
MathorCup,2018,综合,D7519.pdf,32,1155792,False,6-1优秀论文库/MathorCup/2018/综合/D7519.pdf,07251b81f3c3a8cd84d19f10f92fbfef35c60993b2bf25349498426effca7276
MathorCup,2018,综合,A6016.pdf,18,618632,False,6-1优秀论文库/MathorCup/2018/综合/A6016.pdf,eaa0a81fe4a8e06384b7dbcdcfa7402023051ed0b932cb3007830000cc834661
MathorCup,2018,综合,C3289-特等奖答辩PPT.pdf,31,1150880,False,6-1优秀论文库/MathorCup/2018/综合/C3289-特等奖答辩PPT.pdf,200656b55ff0f074f74989ae114c02e609453ebb6070c3a81ac3f0fb1febd4ae
MathorCup,2018,综合,B3617-特等奖答辩ppt.pdf,45,2862859,False,6-1优秀论文库/MathorCup/2018/综合/B3617-特等奖答辩ppt.pdf,3e9e9b3d7ae1b9efb9fce6c37b64bab91b3c398819c36dbba155ccb29b9eb616
MathorCup,2018,综合,D6086-特等奖答辩PPT.pdf,25,1733237,False,6-1优秀论文库/MathorCup/2018/综合/D6086-特等奖答辩PPT.pdf,4aaf2f997e39e6be2fab9205ac295a861bcd59e637abe90e073b3bd8a6cbd6ce
MathorCup,2018,综合,C3289.pdf,24,526884,False,6-1优秀论文库/MathorCup/2018/综合/C3289.pdf,65e3697bb5fa17f2232bfdd87c0c2b5ea753732a0e79fa4981a1c1ef9bf2bd8d
MathorCup,2018,综合,B3617.pdf,27,1192703,False,6-1优秀论文库/MathorCup/2018/综合/B3617.pdf,f694227be695379f94817434cccb9534d5a647c974bb4da683bbb4b3348bfd71
MathorCup,2018,综合,A6016答辩ppt.pdf,17,807903,False,6-1优秀论文库/MathorCup/2018/综合/A6016答辩ppt.pdf,b50eb5a59ec6ea7facd080754258c57f80935f7c0a985080d2a7a467ee93aa25
MathorCup,2018,综合,C4028.pdf,22,1108198,False,6-1优秀论文库/MathorCup/2018/综合/C4028.pdf,2b6b0c97d9ab4a02c4e90c2fcb775bb83277f631481393b8e8dfa84f528d66fa
MathorCup,2018,C题,C题4028-特等奖答辩ppt.pdf,75,4998748,False,6-1优秀论文库/MathorCup/2018/C题/C题4028-特等奖答辩ppt.pdf,f892f529cc3ad9cb0dcb4e325f675e2b1f35a7e9ae7901afd785bcd20ab7c603
MathorCup,2019,D题,D903462.pdf,33,1587938,False,6-1优秀论文库/MathorCup/2019/D题/D903462.pdf,42272a04b93eb030b7ec9203830d6d0e8a17e736b42cf3c2b19a98cdd1e3872d
MathorCup,2019,A题,A900494.pdf,90,3428285,False,6-1优秀论文库/MathorCup/2019/A题/A900494.pdf,55b40ccaa1d7dc9fd29c89b7c9594f9eed9d9a842cf7c84cd59211dee12976dc
MathorCup,2019,B题,B901138-PPT.pdf,28,2443531,False,6-1优秀论文库/MathorCup/2019/B题/B901138-PPT.pdf,1bb97bfdd9e2745f37f5600892836ce129b823127688daa47415dbb227b3c550
MathorCup,2019,D题,D904604.pdf,42,997737,False,6-1优秀论文库/MathorCup/2019/D题/D904604.pdf,d564aa8725db5193120eb4d46680b34ca680dddc84c7cb5433180e9da614c5c8
MathorCup,2019,B题,B901138.pdf,63,2480065,False,6-1优秀论文库/MathorCup/2019/B题/B901138.pdf,253c4c680721bc42d01dfee3f9089a11a211894af218e8383a89056e57b06619
